0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
2,626;0,005734964;-0,09359633;1,113267074;1,38098;4,81635;-156,32846;0;;;;;;;;;;;;;
2,659;-0,135696228;-0,069311927;1,099355759;1,37431;4,7905;-156,45;0;;;;;;;;;;;;;
2,66;-0,003050968;-0,086517839;0,975863405;1,37431;4,7905;-156,45;0;;;;;;;;;;;;;
2,701;-0,081393476;-0,015497452;1,139869521;1,43919;4,73186;-156,57564;0;;;;;;;;;;;;;
2,748;-0,012813456;-0,16046789;0,962318043;1,44606;4,65695;-156,69693;0;;;;;;;;;;;;;
2,78;-0,013300714;0,022697248;1,27166055;1,48798;4,62026;-156,81949;0;;;;;;;;;;;;;
2,821;-0,128251784;0,022697248;0,985015291;1,47214;4,50839;-156,93561;0;;;;;;;;;;;;;
2,865;0,027577982;-0,134841998;1,053107034;1,53082;4,42819;-157,05611;0;;;;;;;;;;;;;
2,866;-0,081026504;-0,024039755;1,178796126;1,53082;4,42819;-157,05611;0;;;;;;;;;;;;;
2,903;-0,028799185;-0,068214067;1,036389399;1,58851;4,38911;-157,17455;0;;;;;;;;;;;;;
2,942;-0,046980632;-0,032337411;1,175989806;1,59602;4,3407;-157,28703;0;;;;;;;;;;;;;
2,981;-0,05283792;-0,056377166;1,089104995;1,60205;4,34143;-157,39688;0;;;;;;;;;;;;;
3,022;0,000243629;-0,045150866;1,058476045;1,58615;4,32313;-157,50249;0;;;;;;;;;;;;;
3,061;-0,047102956;-0,030262997;1,023453619;1,53258;4,29553;-157,60196;0;;;;;;;;;;;;;
3,099;0,051130479;-0,101039755;0,89703262;1,49203;4,31563;-157,69611;0;;;;;;;;;;;;;
3,102;-0,063820591;-0,027700306;1,085810398;1,49203;4,31563;-157,69611;0;;;;;;;;;;;;;
3,151;0,085908257;-0,120320082;0,962927625;1,49791;4,28335;-157,789;0;;;;;;;;;;;;;
3,181;-0,082125382;-0,100796126;0,97293476;1,44706;4,30103;-157,87285;0;;;;;;;;;;;;;
3,22;0,029531091;-0,097013252;0,979035678;1,47105;4,32276;-157,9675;0;;;;;;;;;;;;;
3,26;-0,070654434;-0,141797146;0,966710499;1,44079;4,32468;-158,06007;0;;;;;;;;;;;;;
3,298;-0,049055046;-0,062600408;1,018695209;1,44242;4,40517;-158,15491;0;;;;;;;;;;;;;
3,301;-0,009151886;-0,081393476;0,994655454;1,44242;4,40517;-158,15491;0;;;;;;;;;;;;;
3,341;-0,059183486;-0,064431193;1,035901121;1,43028;4,44846;-158,24753;0;;;;;;;;;;;;;
3,385;0,061502548;-0,175721713;0,958412844;1,42261;4,47392;-158,34747;0;;;;;;;;;;;;;
3,42;-0,019524975;-0,064308869;0,997218145;1,38285;4,54303;-158,44778;0;;;;;;;;;;;;;
3,459;0,040147808;-0,150094801;0,898741081;1,36226;4,56848;-158,55022;0;;;;;;;;;;;;;
3,499;-0,072485219;-0,039780836;1,062258919;1,32357;4,5893;-158,65002;0;;;;;;;;;;;;;
3,501;0,067970438;-0,098599388;0,853224261;1,32357;4,5893;-158,65002;0;;;;;;;;;;;;;
3,541;-0,051496432;-0,086640163;1,058964322;1,25774;4,571;-158,74519;0;;;;;;;;;;;;;
3,582;0,056743119;-0,093839959;1,021989806;1,24236;4,56829;-158,84166;0;;;;;;;;;;;;;
3,62;0,036730887;-0,105310907;1,041147808;1,1993;4,55969;-158,93259;0;;;;;;;;;;;;;
3,666;0,021477064;-0,07980632;0,909601427;1,16444;4,55976;-159,02045;0;;;;;;;;;;;;;
3,698;0,053570846;-0,047713558;1,019915392;1,13495;4,59231;-159,10513;0;;;;;;;;;;;;;
3,701;-0,036852192;-0,080905199;1,023575943;1,13495;4,59231;-159,10513;0;;;;;;;;;;;;;
3,741;-0,079562691;-0,112632008;1,034558614;1,07423;4,61245;-159,18318;0;;;;;;;;;;;;;
3,796;-0,044417941;0,04075739;1,083370031;1,17614;4,62668;-159,27121;0;;;;;;;;;;;;;
3,82;-0,004026504;-0,16693476;0,957802243;1,18464;4,58166;-159,34636;0;;;;;;;;;;;;;
3,86;-0,055156983;-0,127885831;0,833577982;1,34022;4,61024;-159,42953;0;;;;;;;;;;;;;
3,903;0,120686035;-0,081148828;1,080929664;1,36352;4,58843;-159,49942;0;;;;;;;;;;;;;
3,904;-0,151316004;-0,046005097;1,117415902;1,36352;4,58843;-159,49942;0;;;;;;;;;;;;;
3,941;-0,064797146;-0,091765545;1,022478084;1,42788;4,62534;-159,57002;0;;;;;;;;;;;;;
3,981;0,04917737;-0,052106014;1,128764526;1,5368;4,6211;-159,64607;0;;;;;;;;;;;;;
4,02;-0,136183486;-0,083833843;1,099478084;1,50671;4,61611;-159,71115;0;;;;;;;;;;;;;
4,059;0,015863405;-0,10287054;1,044930683;1,64255;4,60163;-159,79117;0;;;;;;;;;;;;;
4,098;-0,067237513;-0,051374108;1,128764526;1,64604;4,59284;-159,86349;0;;;;;;;;;;;;;
4,102;-0,093230377;-0,08908053;0,882633028;1,64604;4,59284;-159,86349;0;;;;;;;;;;;;;
4,14;-0,087372069;-0,066139653;0,988066259;1,71791;4,61211;-159,95154;0;;;;;;;;;;;;;
4,182;-0,036486239;-0,073949032;0,865427115;1,76934;4,62196;-160,04227;0;;;;;;;;;;;;;
4,219;-0,05564526;-0,112754332;0,914970438;1,7812;4,63982;-160,13121;0;;;;;;;;;;;;;
4,259;-0,013911315;-0,075291539;0,972690112;1,82353;4,68123;-160,22464;0;;;;;;;;;;;;;
4,313;-0,087860347;-0,128740061;1,004539246;1,80252;4,71724;-160,31287;0;;;;;;;;;;;;;
4,314;-0,012325178;-0,141797146;0,979646279;1,80252;4,71724;-160,31287;0;;;;;;;;;;;;;
4,341;-0,083101937;-0,117025484;1,117415902;1,80931;4,7817;-160,40379;0;;;;;;;;;;;;;
4,38;-0,024528033;-0,129716616;1,062015291;1,81544;4,81938;-160,49466;0;;;;;;;;;;;;;
4,424;-0,015985729;-0,06406524;1,16683792;1,7872;4,87915;-160,58229;0;;;;;;;;;;;;;
4,459;-0,055888889;-0,090057085;0,806853211;1,74503;4,92441;-160,66818;0;;;;;;;;;;;;;
4,498;0,043076453;-0,17450051;1,183067278;1,66817;4,9791;-160,74886;0;;;;;;;;;;;;;
4,501;-0,094816514;-0,144116208;0,974154944;1,66817;4,9791;-160,74886;0;;;;;;;;;;;;;
4,541;0,073827727;-0,148265036;1,015766565;1,70115;5,04594;-160,83699;0;;;;;;;;;;;;;
4,579;-0,094205912;-0,117025484;0,982818552;1,6442;5,11192;-160,92346;0;;;;;;;;;;;;;
4,621;0,011348624;-0,182799185;1,059818552;1,66382;5,18331;-161,02031;0;;;;;;;;;;;;;
4,659;-0,029408767;-0,117636086;0,997095821;1,64029;5,24701;-161,11414;0;;;;;;;;;;;;;
4,701;-0,087860347;-0,127642202;0,95438634;1,66536;5,29785;-161,21216;0;;;;;;;;;;;;;
4,702;0,031849134;-0,125079511;0,942061162;1,66536;5,29785;-161,21216;0;;;;;;;;;;;;;
4,74;-0,033557594;-0,106897044;1,010518858;1,66008;5,3598;-161,30627;0;;;;;;;;;;;;;
4,78;-0,056743119;-0,09835474;0,980012232;1,62773;5,41291;-161,39613;0;;;;;;;;;;;;;
4,819;0,033069317;-0,15595209;0,931444444;1,63527;5,47392;-161,48834;0;;;;;;;;;;;;;
4,858;-0,09640265;-0,151071356;0,997095821;1,5793;5,54758;-161,57295;0;;;;;;;;;;;;;
4,898;0,06406524;-0,164982671;0,97769317;1,63224;5,60388;-161,66663;0;;;;;;;;;;;;;
4,9;-0,048689093;-0,130570846;0,967930683;1,63224;5,60388;-161,66663;0;;;;;;;;;;;;;
4,962;-0,071753313;-0,149119266;1,013569827;1,58666;5,67827;-161,74886;0;;;;;;;;;;;;;
4,979;-0,021233435;-0,167667686;0,938033639;1,66077;5,72805;-161,84042;0;;;;;;;;;;;;;
5,019;-0,044662589;-0,10848318;1,040538226;1,65126;5,78311;-161,92989;0;;;;;;;;;;;;;
5,058;-0,053814475;-0,138624873;1,057255861;1,68576;5,85034;-162,02652;0;;;;;;;;;;;;;
5,099;-0,034411825;-0,149240571;0,939132518;1,6776;5,91436;-162,11989;0;;;;;;;;;;;;;
5,1;-0,02867686;-0,159735984;1,050422018;1,6776;5,91436;-162,11989;0;;;;;;;;;;;;;
5,14;-0,024039755;-0,130082569;1,040904179;1,67672;5,97088;-162,21385;0;;;;;;;;;;;;;
5,179;-0,028920489;-0,126665647;1,012227319;1,69469;6,02581;-162,30981;0;;;;;;;;;;;;;
5,229;-0,028920489;-0,135085627;1,02406422;1,70585;6,05778;-162,40404;0;;;;;;;;;;;;;
5,257;-0,045028542;-0,110191641;1,05835474;1,70585;6,05778;-162,40404;0;;;;;;;;;;;;;
5,297;-0,02587054;-0,167301733;1,012593272;1,68998;6,11782;-162,49263;0;;;;;;;;;;;;;
5,3;-0,033191641;-0,114462793;1,028213048;1,68998;6,11782;-162,49263;0;;;;;;;;;;;;;
5,34;-0,066993884;-0,154122324;1,098746177;1,70515;6,17473;-162,5818;0;;;;;;;;;;;;;
5,379;-0,000976555;-0,125689093;0,978181448;1,714;6,22861;-162,66818;0;;;;;;;;;;;;;
5,418;-0,035632008;-0,215380224;1,01283792;1,65588;6,26104;-162,74518;0;;;;;;;;;;;;;
5,46;0,006101937;-0,165348624;1,009055046;1,72257;6,37076;-162,83363;0;;;;;;;;;;;;;
5,498;-0,04832314;-0,232586137;1,022721713;1,72142;6,461;-162,91287;0;;;;;;;;;;;;;
5,501;-0,077365953;-0,165714577;0,998072375;1,72142;6,461;-162,91287;0;;;;;;;;;;;;;
5,539;-0,008908257;-0,171450561;0,971347604;1,83281;6,55577;-163,00337;0;;;;;;;;;;;;;
5,581;-0,085785933;-0,106653415;0,855298675;1,88008;6,61817;-163,12585;0;;;;;;;;;;;;;
5,619;-0,097256881;-0,141431193;1,014058104;1,95902;6,67018;-163,21078;0;;;;;;;;;;;;;
5,657;-0,045394495;-0,180602446;0,912896024;2,02186;6,70903;-163,29172;0;;;;;;;;;;;;;
5,697;0,004637105;-0,152291539;0,9397421;2,04052;6,74321;-163,36514;0;;;;;;;;;;;;;
5,737;-0,0927421;-0,097134557;1,041270133;2,05431;6,76919;-163,47758;0;;;;;;;;;;;;;
5,741;-0,055156983;-0,119831804;0,925464832;2,05431;6,76919;-163,47758;0;;;;;;;;;;;;;
5,778;-0,037706422;-0,125201835;1,076292559;2,06252;6,77471;-163,54716;0;;;;;;;;;;;;;
5,818;0,034777778;-0,181944954;0,982574924;2,04165;6,75808;-163,61243;0;;;;;;;;;;;;;
5,87;-0,029897044;-0,150217125;0,998316004;2,03093;6,81943;-163,67778;0;;;;;;;;;;;;;
5,898;-0,05283792;-0,098111111;0,975741081;2,05244;6,87745;-163,74596;0;;;;;;;;;;;;;
5,936;-0,064187564;-0,190486239;0,988920489;2,04226;6,8776;-163,80942;0;;;;;;;;;;;;;
5,939;-0,054668705;-0,146800204;1,030775739;2,04226;6,8776;-163,80942;0;;;;;;;;;;;;;
5,991;-0,001464832;-0,184507645;1,019061162;2,08821;6,90837;-163,90974;0;;;;;;;;;;;;;
6,016;-0,099331295;-0,200614679;0,963538226;2,07627;6,94302;-163,95827;0;;;;;;;;;;;;;
6,057;-0,080905199;-0,136671764;1,093132518;2,06357;6,98002;-164,04445;0;;;;;;;;;;;;;
6,098;-0,094328236;-0,077243629;0,931932722;1,99794;6,99851;-164,12169;0;;;;;;;;;;;;;
6,136;-0,060160041;-0,145457696;1,030775739;1,99794;6,99851;-164,12169;0;;;;;;;;;;;;;
6,139;0,043686035;-0,162054027;1,088739042;1,99794;6,99851;-164,12169;0;;;;;;;;;;;;;
6,178;-0,044296636;-0,019280326;0,933275229;1,94529;6,96848;-164,19655;0;;;;;;;;;;;;;
6,219;-0,038682977;-0,116537207;1,08898369;1,99523;6,97322;-164,2812;0;;;;;;;;;;;;;
6,262;-0,050153925;-0,228681957;1,032972477;1,95259;6,99238;-164,3136;0;;;;;;;;;;;;;
6,296;-0,134963303;-0,186703364;1,197955148;2,1052;7,00105;-164,36945;0;;;;;;;;;;;;;
6,336;0,084199796;-0,212085627;1,121198777;2,06324;7,00981;-164,4093;0;;;;;;;;;;;;;
6,339;-0,240884811;-0,075413863;1,089593272;2,06324;7,00981;-164,4093;0;;;;;;;;;;;;;
6,393;0,126543323;-0,103724771;1,160004077;2,24439;7,00159;-164,48267;0;;;;;;;;;;;;;
6,416;-0,129106014;-0,15033945;1,033460754;2,1061;7,0182;-164,52043;0;;;;;;;;;;;;;
6,456;0,097988787;-0,137282365;0,984404689;2,18039;7,00498;-164,58548;0;;;;;;;;;;;;;
6,513;0,017328236;-0,125201835;0,938521916;2,0538;7,01012;-164,62779;0;;;;;;;;;;;;;
6,535;0,022331295;-0,1427737;0,901913354;1,99696;7,01476;-164,6783;0;;;;;;;;;;;;;
6,537;0,054546381;-0,126909276;0,943769623;1,99696;7,01476;-164,6783;0;;;;;;;;;;;;;
